Source,Target,Label
58,62,85112606579
58,42,85112606579
59,60,85112606579
59,61,85112606579
59,62,85112606579
59,42,85112606579
60,61,85112606579
60,62,85112606579
60,42,85112606579
61,62,85112606579
61,42,85112606579
62,42,85112606579
47,63,85094621883
47,42,85094621883
47,64,85094621883
63,42,85094621883
63,64,85094621883
42,64,85094621883
41,42,85094569019
41,65,85094569019
41,51,85094569019
42,65,85094569019
42,51,85094569019
65,51,85094569019
43,63,85097268370
43,47,85097268370
43,42,85097268370
63,47,85097268370
63,42,85097268370
47,42,85097268370
66,67,85082140804
66,42,85082140804
67,42,85082140804
40,44,85083089114
40,42,85083089114
40,62,85083089114
40,60,85083089114
44,42,85083089114
44,62,85083089114
44,60,85083089114
42,62,85083089114
42,60,85083089114
62,60,85083089114
68,62,85006085494
68,42,85006085494
68,60,85006085494
68,69,85006085494
62,42,85006085494
62,60,85006085494
62,69,85006085494
42,60,85006085494
42,69,85006085494
60,69,85006085494
42,70,85007470569
42,62,84955313916
42,62,84908474515
42,62,84927144609
42,62,84899076098
42,62,80054755770
42,71,80054755770
42,72,80054755770
62,71,80054755770
62,72,80054755770
71,72,80054755770
13,73,85184029623
13,74,85184029623
13,75,85184029623
13,11,85184029623
73,74,85184029623
73,75,85184029623
73,11,85184029623
74,75,85184029623
74,11,85184029623
75,11,85184029623
76,11,85180717661
76,77,85180717661
11,77,85180717661
26,11,85175991750
78,3,85175945151
78,79,85175945151
78,11,85175945151
3,79,85175945151
3,11,85175945151
79,11,85175945151
46,14,85137367581
46,80,85137367581
46,81,85137367581
46,11,85137367581
14,80,85137367581
14,81,85137367581
14,11,85137367581
80,81,85137367581
80,11,85137367581
81,11,85137367581
82,11,85122670149
82,83,85122670149
82,84,85122670149
82,85,85122670149
11,83,85122670149
11,84,85122670149
11,85,85122670149
83,84,85122670149
83,85,85122670149
84,85,85122670149
11,85,85122660970
11,86,85122660970
85,86,85122660970
77,11,85151326273
77,43,85151326273
77,87,85151326273
11,43,85151326273
11,87,85151326273
43,87,85151326273
88,11,85151325777
88,43,85151325777
11,43,85151325777
25,23,85142736640
25,11,85142736640
23,11,85142736640
20,43,85140725572
20,11,85140725572
43,11,85140725572
89,28,85128925812
