Id,Label,ID_Scopus_Author
248,"Domínguez, J.R.",57206274161
249,"Martínez, O.",57224083388
250,"Valera, D.",50562044200
251,"Romero, H.",55372476800
252,"Chavez-Chico, E.A.",57222401505
253,"Romero, J.F.",57224004283
254,"Navas-León, D.G.",57219728918
255,"Tovar, G.I.",57211819143
256,"Suarez, J.",57194004428
257,"Flores, S.",8320782300
258,"Daboin, V.",57197806611
259,"Santiana, J.",57218510965
260,"Quiroz, F.",57200607092
261,"Chango, J.I.",57199156265
262,"Vera, C.C.",57218511809
263,"Caniglia, L.",57218516858
264,"Salazar, V.",7003371102
265,"Fernández-Delgado, M.",23134364000
266,"Jerez-Masaquiza, M.D.",57217827052
267,"Montero-Jiménez, M.",57209302767
268,"Suárez, P.",7006063795
269,"Gutiérrez, A.V.",57215809190
270,"Puche, M.L.",57215597869
271,"Serrano, Y.",57215602795
272,"Martínez, S.",57216142913
273,"Guerrero, L.A.",57213166262
274,"Hernández, A.C.",56602205000
275,"Awad, M.E.",57191976547
276,"Meléndez, W.",6507540090
277,"López-Galindo, A.",6603780412
278,"Sánchez-Espejo, R.",55567234100
279,"García-Villén, F.",57195772327
280,"Viseras, C.",35345834200
281,"Carrizales-Silva, L.",57194475792
282,"Alcalá, O.",55753874400
283,"Silva, P.",7203089029
284,"Díaz, A.",57784237300
285,"De Menezes, D.",57204416166
286,"Sánchez, M.",57203723204
287,"Alvarado, J.",7006237975
288,"Carrera, P.",56605978000
289,"Bonilla, P.",57194286886
290,"Manciati, C.",57204616391
291,"Costa-Vera, C.",15041572100
292,"Soto, D.",55769793500
293,"Lozada, L.",57191231116
294,"Diaz, J.C.",57199166571
295,"Sagarzazu, A.",6602625204
296,"Cordova, A.",57195491561
297,"Gomes, M.E.",35792064100
298,"Salas, J.",57195494506
299,"Contreras, L.",57195493407
300,"Linares, C.F.",7004158433
301,"Moscosso, J.",57070318400
302,"Alzurutt, V.",57070439500
303,"Ocanto, F.",23028921600
304,"Bretto, P.",56230013900
305,"Sojo, J.",57193393606
306,"Gutiérrez, T.J.",56414510900
307,"Fraisse, B.",6603726623
308,"Flaud, V.",23990674700
309,"Fréty, N.",6603565065
310,"Quiñones, J.",57193535296
311,"Molina, A.",7202085946
312,"Campos, M.",57193528478
313,"Sarabia, M.A.",55840655600
314,"Rojas, S.D.",56997678500
315,"Villalba, R.",7005257938
316,"Cabrera, A.L.",7103154543
317,"Rojas-Challa, Y.",56913309400
318,"Méndez, F.J.",55508907800
319,"Brito, J.L.",57221529406
320,"González, O.",56912915600
321,"Rojas de Astudillo, L.",55664240100
322,"Basanta, G.",37103599800
323,"Díaz, E.",57193387340
324,"Mauco, S.",57193391428
325,"Monsalve, A.",58462269100
326,"Rivas, A.",7005714951
327,"Balza, A.",56274284800
328,"Corona, O.",57189506591
329,"Alarcón, A.",57206149850
330,"Echevarrieta, J.",57189505785
331,"Goite, M.",6504447278
332,"Hermán, V.",54893702000
333,"Albano, C.",7005727143
334,"Karam, A.",8605088900
335,"Romero, K.",55557875600
336,"Yndriago, L.",56667626900
337,"Marquez, A.",36892863400
338,"Sifontes, Á.B.",6508005742
339,"Villani, A.",36844720400
340,"Millán, A.",57204299205
341,"Palacios, J.",55054647200
342,"Castillo, R.V.",7202163422
343,"Covis, M.",36170234300
344,"Sánchez, M.",56957562600
345,"Díaz, R.D.",57204251330
346,"Córdova, T.",6602165137
347,"Ruette, F.",7003581279
348,"Arjona, J.D.",55988579900
349,"Bautista, P.",55987922000
350,"Figueredo, E.",24921440900
351,"Peraza, D.",56964138700
352,"Pirela, M.",6507411174
353,"Abreu, V.",56677548200
354,"Plaza, E.",36987075800
355,"Briceño, A.",6603766692
356,"Blanco, A.",15749771200
357,"Casanova, E.",57202665422
358,"Boyer, I.",36156070300
359,"Martínez, H.",55951419400
360,"D'Onofrio, L.",6701709320
361,"Avendaño, C.",57196756986
362,"Cañizales, E.",7801393982
363,"Atencio, R.",55880919000
364,"Dieudonné, P.",6701836753
365,"Tovar, L.M.",52164818800
366,"Niño-Vega, G.",6603414194
367,"Villalobos, H.",57070063300
368,"García, B.",57213978693
369,"Bisbal, R.",6505923009
370,"Dávila, P.",56001412900
371,"Gomez, F.",56001928900
372,"Camero, S.",6507992368
373,"Pérez, M.",57217432110
374,"Pozo-Morejón, J.A.",26421296500
375,"García-Jacomino, J.L.",33067875900
376,"Quintana-Puchol, R.",6506500463
377,"Sarmiento, Y.",55605276900
378,"Contreras, A.",55602723900
379,"Briceño, R.",6701337178
380,"Rosales, A.",36633087600
381,"Naranjo, C.",55557912400
382,"Betancourt, M.",7006573700
383,"Imbert, F.",6701914423
384,"Sosa, E.",23490422200
385,"Aguirre, F.",16551632600
386,"Rodríguez, P.",57197027354
387,"Uzcátegui, Á.",23569007000
388,"Mora, A.E.",36836493700
389,"Férnandez, J.",57203881873
390,"Ochoa, J.L.",7101787731
391,"Sánchez, F.",56949850200
392,"Rodríguez, J.P.",57199092975
393,"Zoltan, T.",24170295400
394,"Figueira-Tosta, D.J.",41661345300
395,"Perera, R.",7005432990
396,"Cataño, L.",9638349500
397,"Oleszak, D.",57208748982
398,"Bello, M.",36453557000
399,"Ochoa, N.",7003532326
400,"Balsamo, V.",7004750020
401,"López-Carrasquero, F.",6701725766
402,"Coll, S.",57206132714
403,"García, W.",36156062300
404,"Urbina de Navarro, C.",6602595337
405,"Sazo, V.",6507399762
406,"López, C.M.",57199822130
407,"Arregui, A.",35791790100
408,"Urbina, C.",7005301241
409,"Puello-Polo, E.",23490237300
410,"Gutiérrez-Alejandre, A.",6603164478
411,"Parra, C.",57198280499
