Source,Target,Label,Conteo
158,147,84893824397,1
178,179,84893824397,1
178,147,84893824397,1
178,139,84893824397,1
178,171,84893824397,1
178,170,84893824397,1
179,147,84893824397,1
179,139,84893824397,1
179,171,84893824397,1
179,170,84893824397,1
147,139,84893824397,1
147,171,84893824397,1
147,170,84893824397,1
139,171,84893824397,1
139,170,84893824397,1
171,170,84893824397,1
139,180,84878189239,1
139,181,84878189239,1
139,182,84878189239,1
139,183,84878189239,1
139,184,84878189239|67649886835,2
180,181,84878189239,1
180,182,84878189239,1
180,183,84878189239,1
180,184,84878189239,1
181,182,84878189239|67649886835,2
181,183,84878189239,1
181,184,84878189239|67649886835,2
182,183,84878189239,1
182,184,84878189239|67649886835,2
183,184,84878189239,1
185,181,67649886835,1
185,182,67649886835,1
185,139,67649886835,1
185,186,67649886835,1
185,187,67649886835,1
185,184,67649886835,1
181,139,67649886835,1
181,186,67649886835,1
181,187,67649886835,1
182,139,67649886835,1
182,186,67649886835,1
182,187,67649886835,1
139,186,67649886835,1
139,187,67649886835,1
186,187,67649886835,1
186,184,67649886835,1
187,184,67649886835,1
188,189,85183344144,1
188,190,85183344144,1
188,191,85183344144,1
188,192,85183344144,1
188,193,85183344144,1
188,194,85183344144,1
188,195,85183344144,1
189,190,85183344144,1
189,191,85183344144,1
189,192,85183344144,1
189,193,85183344144,1
189,194,85183344144,1
189,195,85183344144,1
190,191,85183344144,1
190,192,85183344144,1
190,193,85183344144,1
190,194,85183344144,1
190,195,85183344144,1
191,192,85183344144,1
191,193,85183344144,1
191,194,85183344144,1
191,195,85183344144,1
192,193,85183344144,1
192,194,85183344144,1
192,195,85183344144,1
193,194,85183344144,1
193,195,85183344144,1
194,195,85183344144,1
196,197,85166241171,1
196,198,85166241171,1
196,193,85166241171,1
197,198,85166241171,1
197,193,85166241171|85106723031|85089393722,3
198,193,85166241171|84981727572,2
199,200,85163635156,1
199,193,85163635156,1
199,198,85163635156,1
200,193,85163635156,1
200,198,85163635156,1
193,198,85163635156,1
201,202,85152206403,1
201,203,85152206403,1
201,204,85152206403,1
201,205,85152206403,1
201,206,85152206403,1
201,193,85152206403,1
202,203,85152206403,1
202,204,85152206403,1
202,205,85152206403,1
202,206,85152206403,1
202,193,85152206403,1
203,204,85152206403,1
203,205,85152206403,1
203,206,85152206403,1
203,193,85152206403,1
204,205,85152206403,1
204,206,85152206403,1
204,193,85152206403,1
205,206,85152206403,1
205,193,85152206403|85151167849,2
206,193,85152206403|85151167849|85163022794|85094950733,4
207,208,85138695494,1
207,209,85138695494,1
207,210,85138695494,1
207,193,85138695494,1
208,209,85138695494|85151167849,2
208,210,85138695494|85151167849,2
208,193,85138695494|85151167849|85146232350|85102646623|85094950733|85090963194|85061274528|85034985806|85018325864|85017457541,10
209,210,85138695494|85151167849,2
209,193,85138695494|85151167849,2
210,193,85138695494|85151167849,2
211,208,85151167849,1
211,206,85151167849,1
211,209,85151167849,1
211,210,85151167849,1
211,205,85151167849,1
211,193,85151167849,1
208,206,85151167849,1
208,205,85151167849,1
206,209,85151167849,1
206,210,85151167849,1
206,205,85151167849,1
209,205,85151167849,1
210,205,85151167849,1
212,213,85173485095|84861141776,2
212,193,85173485095|84861141776,2
212,214,85173485095,1
213,193,85173485095|84861141776,2
213,214,85173485095,1
193,214,85173485095,1
215,193,85163591010,1
215,216,85163591010,1
193,216,85163591010,1
217,218,85163022794,1
217,219,85163022794,1
217,220,85163022794,1
217,206,85163022794,1
217,193,85163022794,1
218,219,85163022794,1
218,220,85163022794,1
218,206,85163022794,1
218,193,85163022794,1
219,220,85163022794,1
219,206,85163022794,1
219,193,85163022794|85146232350,2
220,206,85163022794,1
220,193,85163022794,1
221,208,85146232350,1
221,219,85146232350,1
221,193,85146232350,1
208,219,85146232350,1
222,223,85135950534,1
222,224,85135950534|85134263431,2
222,193,85135950534|85134263431,2
222,225,85135950534|85134263431,2
223,224,85135950534|85134263431,2
223,193,85135950534|85134263431|85127723312|85111946060|85106926571|85087656011|85077534667|85145623010,8
223,225,85135950534|85134263431|85111946060|85106926571|85087656011|85077534667|85145623010,7
224,193,85135950534,1
224,225,85135950534|85134263431,2
193,225,85135950534|85134263431|85111946060|85106926571|85087656011|85077534667|85145623010,7
223,222,85134263431,1
223,226,85134263431|85077534667|85145623010,3
223,227,85134263431,1
223,228,85134263431,1
222,226,85134263431,1
222,227,85134263431,1
222,228,85134263431,1
193,226,85134263431|85077534667|85145623010,3
193,224,85134263431,1
193,227,85134263431,1
193,228,85134263431,1
226,224,85134263431,1
226,227,85134263431,1
226,228,85134263431,1
226,225,85134263431|85077534667|85145623010,3
224,227,85134263431,1
224,228,85134263431,1
227,228,85134263431,1
227,225,85134263431,1
228,225,85134263431,1
226,229,85129844953,1
226,230,85129844953,1
226,231,85129844953|85121588419,2
226,193,85129844953|85127723312|85121588419,3
229,230,85129844953,1
229,231,85129844953,1
229,193,85129844953,1
230,231,85129844953,1
230,193,85129844953,1
231,193,85129844953|85121588419|85017457541,3
226,232,85127723312|85121588419,2
226,223,85127723312,1
226,233,85127723312|85121588419,2
226,234,85127723312,1
232,223,85127723312,1
232,233,85127723312|85121588419,2
232,234,85127723312,1
232,193,85127723312|85121588419,2
223,233,85127723312,1
223,234,85127723312,1
233,234,85127723312,1
233,193,85127723312|85121588419,2
234,193,85127723312|85005992550|84907525589,3
235,236,85123617740,1
235,237,85123617740,1
235,238,85123617740,1
235,193,85123617740,1
236,237,85123617740,1
236,238,85123617740,1
236,193,85123617740,1
237,238,85123617740,1
237,193,85123617740,1
238,193,85123617740|84902192496,2
239,240,85132523210,1
239,241,85132523210,1
239,242,85132523210,1
239,243,85132523210,1
239,244,85132523210,1
239,193,85132523210,1
239,202,85132523210,1
240,241,85132523210,1
240,242,85132523210,1
240,243,85132523210,1
240,244,85132523210,1
240,193,85132523210,1
240,202,85132523210,1
241,242,85132523210,1
241,243,85132523210,1
241,244,85132523210,1
241,193,85132523210,1
241,202,85132523210,1
242,243,85132523210,1
242,244,85132523210,1
242,193,85132523210,1
242,202,85132523210,1
243,244,85132523210,1
243,193,85132523210,1
243,202,85132523210,1
244,193,85132523210,1
244,202,85132523210,1
193,202,85132523210,1
245,246,85129027881,1
245,193,85129027881,1
246,193,85129027881,1
232,231,85121588419,1
233,231,85121588419,1
247,223,85111946060,1
247,248,85111946060,1
247,193,85111946060|85145623010,2
247,249,85111946060,1
247,225,85111946060|85145623010,2
223,248,85111946060,1
223,249,85111946060|85106926571,2
248,193,85111946060|85052745704,2
248,249,85111946060,1
248,225,85111946060|85052745704,2
193,249,85111946060|85106926571,2
249,225,85111946060|85106926571,2
250,223,85106926571|85052745704,2
250,193,85106926571|85052745704,2
250,251,85106926571,1
250,249,85106926571,1
250,225,85106926571|85052745704,2
223,251,85106926571,1
193,251,85106926571,1
251,249,85106926571,1
251,225,85106926571,1
208,252,85102646623,1
252,193,85102646623,1
253,197,85106723031,1
253,193,85106723031,1
216,206,85094950733,1
216,254,85094950733,1
216,208,85094950733,1
216,193,85094950733,1
206,254,85094950733,1
206,208,85094950733,1
254,208,85094950733,1
254,193,85094950733,1
255,208,85090963194,1
255,256,85090963194,1
255,257,85090963194,1
255,193,85090963194,1
208,256,85090963194|85061274528|85034985806|85018325864,4
208,257,85090963194,1
256,257,85090963194,1
256,193,85090963194|85090201256|85061274528|85034985806|85018325864,5
257,193,85090963194,1
256,258,85090201256,1
256,208,85090201256,1
258,193,85090201256|85061274528|85034985806,3
258,208,85090201256|85061274528|85034985806,3
193,208,85090201256,1
197,206,85089393722,1
197,259,85089393722,1
197,260,85089393722,1
197,261,85089393722,1
197,262,85089393722,1
197,263,85089393722,1
197,264,85089393722,1
197,265,85089393722,1
193,206,85089393722,1
193,259,85089393722,1
193,260,85089393722,1
193,261,85089393722|85037616513,2
193,262,85089393722,1
193,263,85089393722,1
193,264,85089393722,1
193,265,85089393722|85081291466,2
206,259,85089393722,1
206,260,85089393722,1
206,261,85089393722,1
206,262,85089393722,1
206,263,85089393722,1
206,264,85089393722,1
206,265,85089393722,1
259,260,85089393722,1
259,261,85089393722,1
259,262,85089393722,1
259,263,85089393722,1
259,264,85089393722,1
259,265,85089393722,1
260,261,85089393722,1
260,262,85089393722,1
260,263,85089393722,1
260,264,85089393722,1
260,265,85089393722,1
261,262,85089393722,1
261,263,85089393722,1
261,264,85089393722,1
261,265,85089393722,1
262,263,85089393722,1
262,264,85089393722,1
262,265,85089393722,1
263,264,85089393722,1
263,265,85089393722,1
264,265,85089393722|85081291466,2
266,223,85087656011,1
266,193,85087656011,1
266,267,85087656011,1
266,225,85087656011,1
223,267,85087656011|85077534667,2
193,267,85087656011|85077534667,2
267,225,85087656011|85077534667,2
268,269,85081291466,1
268,264,85081291466,1
268,270,85081291466,1
268,271,85081291466,1
268,272,85081291466,1
268,193,85081291466,1
268,265,85081291466,1
269,264,85081291466,1
269,270,85081291466,1
269,271,85081291466,1
269,272,85081291466,1
269,193,85081291466,1
269,265,85081291466,1
264,270,85081291466,1
264,271,85081291466,1
264,272,85081291466,1
264,193,85081291466,1
270,271,85081291466,1
270,272,85081291466,1
270,193,85081291466,1
270,265,85081291466,1
271,272,85081291466,1
271,193,85081291466,1
271,265,85081291466,1
272,193,85081291466,1
272,265,85081291466,1
273,223,85077534667,1
273,193,85077534667,1
273,267,85077534667,1
273,226,85077534667,1
273,197,85077534667,1
273,225,85077534667,1
223,197,85077534667,1
193,197,85077534667,1
267,226,85077534667,1
267,197,85077534667,1
226,197,85077534667,1
197,225,85077534667,1
274,275,85076303974,1
274,276,85076303974|85064269143,2
274,193,85076303974|85064269143|85017457541,3
274,277,85076303974|85064269143,2
274,278,85076303974|85064269143,2
274,279,85076303974,1
274,280,85076303974|85064269143,2
275,276,85076303974,1
275,193,85076303974,1
275,277,85076303974,1
275,278,85076303974,1
275,279,85076303974,1
275,280,85076303974,1
276,193,85076303974|85064269143,2
276,277,85076303974|85064269143,2
276,278,85076303974,1
276,279,85076303974,1
276,280,85076303974|85064269143,2
193,277,85076303974|85064269143,2
193,278,85076303974,1
193,279,85076303974,1
193,280,85076303974|85064269143,2
277,278,85076303974,1
277,279,85076303974,1
277,280,85076303974|85064269143,2
278,279,85076303974,1
278,280,85076303974|85064269143,2
279,280,85076303974,1
278,276,85064269143,1
278,193,85064269143,1
278,277,85064269143,1
258,256,85061274528|85034985806,2
258,281,85061274528,1
258,282,85061274528,1
258,283,85061274528,1
208,281,85061274528,1
208,282,85061274528,1
208,283,85061274528,1
256,281,85061274528,1
256,282,85061274528,1
256,283,85061274528,1
281,282,85061274528,1
281,283,85061274528,1
281,193,85061274528,1
282,283,85061274528,1
282,193,85061274528,1
283,193,85061274528|84865685467,2
223,247,85145623010,1
223,284,85145623010,1
247,226,85145623010,1
247,284,85145623010,1
193,284,85145623010,1
226,284,85145623010,1
284,225,85145623010,1
285,193,85055522796,1
285,238,85055522796,1
193,238,85055522796|85028468163|84944352110|84861141776|73949113432,5
250,286,85052745704,1
250,248,85052745704,1
250,287,85052745704,1
250,288,85052745704,1
250,289,85052745704,1
250,290,85052745704,1
286,248,85052745704,1
286,287,85052745704,1
286,225,85052745704,1
286,288,85052745704,1
286,289,85052745704,1
286,290,85052745704,1
286,193,85052745704,1
286,223,85052745704,1
248,287,85052745704,1
248,288,85052745704,1
248,289,85052745704,1
248,290,85052745704,1
248,223,85052745704,1
287,225,85052745704,1
287,288,85052745704,1
287,289,85052745704,1
287,290,85052745704,1
287,193,85052745704,1
287,223,85052745704,1
225,288,85052745704,1
225,289,85052745704,1
225,290,85052745704,1
225,193,85052745704,1
225,223,85052745704,1
288,289,85052745704,1
288,290,85052745704,1
288,193,85052745704,1
288,223,85052745704,1
289,290,85052745704,1
289,193,85052745704,1
289,223,85052745704,1
290,193,85052745704,1
290,223,85052745704,1
193,223,85052745704,1
193,291,85037616513,1
193,203,85037616513,1
193,292,85037616513,1
193,293,85037616513|84944352110|84858146936,3
193,294,85037616513,1
193,231,85037616513|85028468163,2
291,203,85037616513,1
291,292,85037616513,1
291,293,85037616513,1
291,261,85037616513,1
291,294,85037616513,1
291,231,85037616513,1
203,292,85037616513,1
203,293,85037616513,1
203,261,85037616513,1
203,294,85037616513,1
203,231,85037616513,1
292,293,85037616513,1
292,261,85037616513,1
292,294,85037616513,1
292,231,85037616513,1
293,261,85037616513,1
293,294,85037616513,1
293,231,85037616513,1
261,294,85037616513,1
261,231,85037616513,1
294,231,85037616513,1
193,295,85028468163|78449305881|70749088212|69249235775|33947607169|33947572928|33748778475|8644285548|8644250609|0036170954|0035007474|0034312911,12
193,296,85028468163,1
193,297,85028468163|84871717807|77954171112|61849123191,4
193,298,85028468163,1
193,299,85028468163,1
295,296,85028468163,1
295,297,85028468163,1
295,298,85028468163,1
295,299,85028468163,1
295,238,85028468163,1
295,231,85028468163,1
296,297,85028468163,1
296,298,85028468163,1
296,299,85028468163,1
296,238,85028468163,1
296,231,85028468163,1
297,298,85028468163,1
297,299,85028468163,1
297,238,85028468163,1
297,231,85028468163,1
298,299,85028468163,1
298,238,85028468163,1
298,231,85028468163,1
299,238,85028468163,1
299,231,85028468163,1
238,231,85028468163,1
300,301,85053724272|84955122404,2
300,302,85053724272|84955122404,2
300,303,85053724272|84955122404|84891822660,3
300,304,85053724272|84955122404,2
300,193,85053724272|84955122404|84891822660|34147196077,4
301,302,85053724272|84955122404,2
301,303,85053724272|84955122404,2
301,304,85053724272|84955122404,2
301,193,85053724272|84955122404,2
302,303,85053724272|84955122404,2
302,304,85053724272|84955122404,2
302,193,85053724272|84955122404,2
303,304,85053724272|84955122404,2
